Localité;;"T05M4E5 [°C]";"T05M4E5 [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;20,0
12/08/2022;03:45:00;23,6;67,8
12/08/2022;04:00:00;23,5;67,8
12/08/2022;04:15:00;23,4;68,2
12/08/2022;04:30:00;23,4;68,1
12/08/2022;04:45:00;23,5;67,8
12/08/2022;05:00:00;23,6;67,3
12/08/2022;05:15:00;23,5;67,6
12/08/2022;05:30:00;23,4;67,7
12/08/2022;05:45:00;23,4;67,9
12/08/2022;06:00:00;23,3;68,5
12/08/2022;06:15:00;23,3;68,9
12/08/2022;06:30:00;23,3;69,4
12/08/2022;06:45:00;23,3;69,3
12/08/2022;07:00:00;23,2;69,4
12/08/2022;07:15:00;23,2;69,6
12/08/2022;07:30:00;23,1;69,9
12/08/2022;07:45:00;23,1;69,7
12/08/2022;08:00:00;23,1;69,5
12/08/2022;08:15:00;23,2;69,1
12/08/2022;08:30:00;23,3;69,0
12/08/2022;08:45:00;23,4;69,0
12/08/2022;09:00:00;23,4;69,0
12/08/2022;09:15:00;23,4;68,7
12/08/2022;09:30:00;23,4;68,4
12/08/2022;09:45:00;23,5;67,8
12/08/2022;10:00:00;23,6;67,4
12/08/2022;10:15:00;23,6;66,7
12/08/2022;10:30:00;23,7;66,4
12/08/2022;10:45:00;23,7;66,2
12/08/2022;11:00:00;23,7;65,8
12/08/2022;11:15:00;23,8;65,4
12/08/2022;11:30:00;23,8;65,3
12/08/2022;11:45:00;23,8;64,8
12/08/2022;12:00:00;23,9;64,4
12/08/2022;12:15:00;23,9;64,1
12/08/2022;12:30:00;24,0;63,8
12/08/2022;12:45:00;24,0;63,7
12/08/2022;13:00:00;24,2;62,8
12/08/2022;13:15:00;24,2;62,7
12/08/2022;13:30:00;24,4;62,4
12/08/2022;13:45:00;24,4;62,4
12/08/2022;14:00:00;24,6;62,1
12/08/2022;14:15:00;24,8;61,7
12/08/2022;14:30:00;24,8;61,6
12/08/2022;14:45:00;24,9;61,2
12/08/2022;15:00:00;25,0;60,7
12/08/2022;15:15:00;25,0;60,6
12/08/2022;15:30:00;24,9;60,7
12/08/2022;15:45:00;25,0;60,1
12/08/2022;16:00:00;25,0;60,5
12/08/2022;16:15:00;25,0;60,7
12/08/2022;16:30:00;24,9;60,8
