Localité;;"T01M3QR [°C]";"T01M3QR [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
06/08/2022;20:30:00;23,5;57,4
06/08/2022;20:45:00;23,5;57,6
06/08/2022;21:00:00;23,5;57,8
06/08/2022;21:15:00;23,5;58,1
06/08/2022;21:30:00;23,6;58,2
06/08/2022;21:45:00;23,6;58,5
06/08/2022;22:00:00;23,6;58,5
06/08/2022;22:15:00;23,6;58,7
06/08/2022;22:30:00;23,6;58,7
06/08/2022;22:45:00;23,6;58,8
06/08/2022;23:00:00;23,6;59,2
06/08/2022;23:15:00;23,6;59,7
06/08/2022;23:30:00;23,6;60,1
06/08/2022;23:45:00;23,6;60,4
07/08/2022;00:00:00;23,6;60,6
07/08/2022;00:15:00;23,6;60,7
07/08/2022;00:30:00;23,6;61,0
07/08/2022;00:45:00;23,6;61,1
07/08/2022;01:00:00;23,6;61,1
07/08/2022;01:15:00;23,6;61,0
07/08/2022;01:30:00;23,6;61,1
07/08/2022;01:45:00;23,6;61,1
07/08/2022;02:00:00;23,6;61,3
07/08/2022;02:15:00;23,6;61,3
07/08/2022;02:30:00;23,6;61,3
07/08/2022;02:45:00;23,6;61,5
07/08/2022;03:00:00;23,6;61,3
07/08/2022;03:15:00;23,6;61,2
07/08/2022;03:30:00;23,6;61,3
07/08/2022;03:45:00;23,6;61,1
07/08/2022;04:00:00;23,6;61,0
07/08/2022;04:15:00;23,6;61,0
07/08/2022;04:30:00;23,6;60,9
07/08/2022;04:45:00;23,6;61,0
07/08/2022;05:00:00;23,6;60,9
07/08/2022;05:15:00;23,6;60,9
07/08/2022;05:30:00;23,6;61,1
07/08/2022;05:45:00;23,6;61,1
07/08/2022;06:00:00;23,6;61,1
07/08/2022;06:15:00;23,6;61,1
07/08/2022;06:30:00;23,6;61,2
07/08/2022;06:45:00;23,6;61,2
07/08/2022;07:00:00;23,6;61,2
07/08/2022;07:15:00;23,6;61,3
07/08/2022;07:30:00;23,6;61,3
07/08/2022;07:45:00;23,6;61,4
07/08/2022;08:00:00;23,6;61,5
07/08/2022;08:15:00;23,6;61,6
07/08/2022;08:30:00;23,6;61,8
07/08/2022;08:45:00;23,6;62,0
07/08/2022;09:00:00;23,6;62,0
07/08/2022;09:15:00;23,6;62,3
07/08/2022;09:30:00;23,6;62,5
07/08/2022;09:45:00;23,6;62,5
07/08/2022;10:00:00;23,6;62,7
07/08/2022;10:15:00;23,6;62,7
07/08/2022;10:30:00;23,6;62,7
07/08/2022;10:45:00;23,3;60,2
07/08/2022;11:00:00;23,0;58,2
07/08/2022;11:15:00;22,7;57,2
07/08/2022;11:30:00;22,6;56,1
07/08/2022;11:45:00;22,5;55,4
07/08/2022;12:00:00;22,4;54,7
07/08/2022;12:15:00;22,4;54,2
07/08/2022;12:30:00;22,3;53,6
07/08/2022;12:45:00;22,3;53,2
07/08/2022;13:00:00;22,3;53,0
07/08/2022;13:15:00;22,3;52,6
07/08/2022;13:30:00;22,2;52,7
07/08/2022;13:45:00;22,2;52,4
07/08/2022;14:00:00;22,2;52,4
07/08/2022;14:15:00;22,2;52,3
07/08/2022;14:30:00;22,2;52,2
