Localité;;"T01M3QR [°C]";"T01M3QR [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
05/08/2022;16:15:00;23,0;53,5
05/08/2022;16:30:00;23,0;53,5
05/08/2022;16:45:00;23,0;54,5
05/08/2022;17:00:00;23,0;53,5
05/08/2022;17:15:00;22,9;52,8
05/08/2022;17:30:00;22,9;52,5
05/08/2022;17:45:00;22,9;52,4
05/08/2022;18:00:00;22,9;52,3
05/08/2022;18:15:00;22,9;52,3
05/08/2022;18:30:00;22,9;52,3
05/08/2022;18:45:00;22,9;52,0
05/08/2022;19:00:00;23,1;53,1
05/08/2022;19:15:00;23,3;53,8
05/08/2022;19:30:00;23,4;54,4
05/08/2022;19:45:00;23,5;54,7
05/08/2022;20:00:00;23,6;55,0
05/08/2022;20:15:00;23,6;55,4
05/08/2022;20:30:00;23,6;55,6
05/08/2022;20:45:00;23,7;55,8
05/08/2022;21:00:00;23,7;56,2
05/08/2022;21:15:00;23,7;56,3
05/08/2022;21:30:00;23,7;56,5
05/08/2022;21:45:00;23,8;56,8
05/08/2022;22:00:00;23,8;57,1
05/08/2022;22:15:00;23,8;57,3
05/08/2022;22:30:00;23,8;57,6
05/08/2022;22:45:00;23,8;57,7
05/08/2022;23:00:00;23,8;57,9
05/08/2022;23:15:00;23,8;58,2
05/08/2022;23:30:00;23,8;58,3
05/08/2022;23:45:00;23,8;58,4
06/08/2022;00:00:00;23,8;58,6
06/08/2022;00:15:00;23,8;58,8
06/08/2022;00:30:00;23,8;58,9
06/08/2022;00:45:00;23,8;59,0
06/08/2022;01:00:00;23,8;59,1
06/08/2022;01:15:00;23,8;59,2
06/08/2022;01:30:00;23,8;59,3
06/08/2022;01:45:00;23,8;59,5
06/08/2022;02:00:00;23,8;59,5
06/08/2022;02:15:00;23,8;59,7
06/08/2022;02:30:00;23,8;59,8
06/08/2022;02:45:00;23,8;60,0
06/08/2022;03:00:00;23,8;60,1
06/08/2022;03:15:00;23,8;60,1
06/08/2022;03:30:00;23,8;60,2
06/08/2022;03:45:00;23,8;60,4
06/08/2022;04:00:00;23,8;60,5
06/08/2022;04:15:00;23,8;60,5
06/08/2022;04:30:00;23,8;60,6
06/08/2022;04:45:00;23,8;60,6
06/08/2022;05:00:00;23,8;60,8
06/08/2022;05:15:00;23,8;60,9
06/08/2022;05:30:00;23,8;61,0
06/08/2022;05:45:00;23,8;61,1
06/08/2022;06:00:00;23,8;61,3
06/08/2022;06:15:00;23,8;61,3
06/08/2022;06:30:00;23,8;61,4
06/08/2022;06:45:00;23,8;61,5
06/08/2022;07:00:00;23,8;61,6
06/08/2022;07:15:00;23,8;61,7
06/08/2022;07:30:00;23,8;61,6
06/08/2022;07:45:00;23,8;61,8
06/08/2022;08:00:00;23,8;61,8
06/08/2022;08:15:00;23,8;61,9
06/08/2022;08:30:00;23,8;61,9
06/08/2022;08:45:00;23,8;62,0
06/08/2022;09:00:00;23,8;62,0
06/08/2022;09:15:00;23,8;62,1
06/08/2022;09:30:00;23,8;62,4
06/08/2022;09:45:00;23,5;59,9
06/08/2022;10:00:00;23,1;57,7
06/08/2022;10:15:00;22,9;56,1
06/08/2022;10:30:00;22,7;55,1
06/08/2022;10:45:00;22,6;54,3
06/08/2022;11:00:00;22,6;54,0
06/08/2022;11:15:00;22,6;53,5
06/08/2022;11:30:00;22,5;53,2
06/08/2022;11:45:00;22,5;52,5
06/08/2022;12:00:00;22,5;52,8
06/08/2022;12:15:00;22,5;52,8
06/08/2022;12:30:00;22,5;52,0
06/08/2022;12:45:00;22,5;52,4
06/08/2022;13:00:00;22,4;51,8
06/08/2022;13:15:00;22,4;51,7
06/08/2022;13:30:00;22,5;52,2
06/08/2022;13:45:00;22,6;52,5
06/08/2022;14:00:00;22,6;52,5
06/08/2022;14:15:00;22,7;53,1
06/08/2022;14:30:00;22,7;53,0
06/08/2022;14:45:00;22,7;52,7
06/08/2022;15:00:00;22,7;52,8
06/08/2022;15:15:00;22,7;52,6
06/08/2022;15:30:00;22,7;52,6
06/08/2022;15:45:00;22,7;52,2
06/08/2022;16:00:00;22,7;52,2
06/08/2022;16:15:00;22,7;52,1
06/08/2022;16:30:00;22,8;52,6
06/08/2022;16:45:00;23,0;53,1
06/08/2022;17:00:00;23,2;53,6
06/08/2022;17:15:00;23,3;54,4
06/08/2022;17:30:00;23,3;54,8
06/08/2022;17:45:00;23,4;55,3
06/08/2022;18:00:00;23,4;55,5
06/08/2022;18:15:00;23,4;55,5
06/08/2022;18:30:00;23,4;55,7
06/08/2022;18:45:00;23,5;55,9
06/08/2022;19:00:00;23,5;56,2
06/08/2022;19:15:00;23,5;56,4
06/08/2022;19:30:00;23,5;56,6
06/08/2022;19:45:00;23,5;56,8
06/08/2022;20:00:00;23,5;57,0
06/08/2022;20:15:00;23,5;57,3
