Localité;;"T18M3PR [°C]";"T18M3PR [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
12/08/2022;01:15:00;22,7;62,3
12/08/2022;01:30:00;22,7;62,4
12/08/2022;01:45:00;22,7;62,6
12/08/2022;02:00:00;22,7;62,7
12/08/2022;02:15:00;22,7;62,7
12/08/2022;02:30:00;22,7;62,8
12/08/2022;02:45:00;22,7;62,8
12/08/2022;03:00:00;22,7;62,9
12/08/2022;03:15:00;22,7;62,9
12/08/2022;03:30:00;22,8;62,9
12/08/2022;03:45:00;22,8;63,1
12/08/2022;04:00:00;22,8;63,1
12/08/2022;04:15:00;22,8;63,2
12/08/2022;04:30:00;22,8;63,1
12/08/2022;04:45:00;22,8;63,1
12/08/2022;05:00:00;22,8;63,3
12/08/2022;05:15:00;22,8;63,4
12/08/2022;05:30:00;22,8;63,4
12/08/2022;05:45:00;22,8;63,3
12/08/2022;06:00:00;22,8;63,4
12/08/2022;06:15:00;22,8;63,4
12/08/2022;06:30:00;22,8;63,6
12/08/2022;06:45:00;22,8;63,5
12/08/2022;07:00:00;22,8;63,5
12/08/2022;07:15:00;22,8;63,7
12/08/2022;07:30:00;22,8;63,8
12/08/2022;07:45:00;22,8;63,7
12/08/2022;08:00:00;22,8;63,6
12/08/2022;08:15:00;22,8;63,5
12/08/2022;08:30:00;22,8;63,4
12/08/2022;08:45:00;22,8;63,3
12/08/2022;09:00:00;22,3;57,4
12/08/2022;09:15:00;22,2;58,3
12/08/2022;09:30:00;22,4;58,3
12/08/2022;09:45:00;22,2;57,0
12/08/2022;10:00:00;22,1;55,5
12/08/2022;10:15:00;22,1;55,7
12/08/2022;10:30:00;22,0;54,3
12/08/2022;10:45:00;22,0;53,8
12/08/2022;11:00:00;21,9;53,6
12/08/2022;11:15:00;21,9;53,8
12/08/2022;11:30:00;21,9;53,5
12/08/2022;11:45:00;21,8;53,2
12/08/2022;12:00:00;21,8;52,7
12/08/2022;12:15:00;21,8;51,6
12/08/2022;12:30:00;21,8;53,4
12/08/2022;12:45:00;21,8;53,0
12/08/2022;13:00:00;21,8;52,2
12/08/2022;13:15:00;21,8;52,2
12/08/2022;13:30:00;21,9;53,9
12/08/2022;13:45:00;21,9;54,0
12/08/2022;14:00:00;21,8;53,3
12/08/2022;14:15:00;21,8;53,0
12/08/2022;14:30:00;21,8;53,4
12/08/2022;14:45:00;22,0;54,8
12/08/2022;15:00:00;22,1;54,7
12/08/2022;15:15:00;22,2;56,0
12/08/2022;15:30:00;22,3;56,9
12/08/2022;15:45:00;22,3;56,0
12/08/2022;16:00:00;22,4;56,9
12/08/2022;16:15:00;22,5;58,5
12/08/2022;16:30:00;22,5;57,3
12/08/2022;16:45:00;22,5;57,6
12/08/2022;17:00:00;22,5;57,1
12/08/2022;17:15:00;22,5;56,6
12/08/2022;17:30:00;22,4;56,7
12/08/2022;17:45:00;22,4;57,1
12/08/2022;18:00:00;22,5;57,2
12/08/2022;18:15:00;22,5;57,3
12/08/2022;18:30:00;22,5;57,3
12/08/2022;18:45:00;22,5;57,5
12/08/2022;19:00:00;22,5;57,6
12/08/2022;19:15:00;22,5;57,6
12/08/2022;19:30:00;22,5;57,7
12/08/2022;19:45:00;22,6;57,8
12/08/2022;20:00:00;22,6;57,8
12/08/2022;20:15:00;22,6;57,9
12/08/2022;20:30:00;22,6;58,0
12/08/2022;20:45:00;22,6;58,0
12/08/2022;21:00:00;22,6;58,1
12/08/2022;21:15:00;22,6;58,2
12/08/2022;21:30:00;22,6;58,2
12/08/2022;21:45:00;22,6;58,2
12/08/2022;22:00:00;22,6;58,3
12/08/2022;22:15:00;22,6;58,3
12/08/2022;22:30:00;22,6;58,3
12/08/2022;22:45:00;22,6;58,3
12/08/2022;23:00:00;22,6;58,3
12/08/2022;23:15:00;22,6;58,3
12/08/2022;23:30:00;22,7;58,3
12/08/2022;23:45:00;22,6;58,4
13/08/2022;00:00:00;22,7;58,5
13/08/2022;00:15:00;22,6;58,7
