Localité;;"T02M3RE [°C]";"T02M3RE [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
17/08/2022;12:45:00;23,7;59,9
17/08/2022;13:00:00;23,6;59,4
17/08/2022;13:15:00;23,6;58,9
17/08/2022;13:30:00;23,7;58,5
17/08/2022;13:45:00;23,7;58,6
17/08/2022;14:00:00;23,7;58,5
17/08/2022;14:15:00;23,7;57,7
17/08/2022;14:30:00;23,7;57,3
17/08/2022;14:45:00;23,7;56,5
17/08/2022;15:00:00;23,7;57,0
17/08/2022;15:15:00;23,8;56,4
17/08/2022;15:30:00;23,7;55,5
17/08/2022;15:45:00;23,7;55,1
17/08/2022;16:00:00;23,7;56,8
17/08/2022;16:15:00;23,8;57,5
17/08/2022;16:30:00;23,7;56,4
17/08/2022;16:45:00;23,6;56,0
17/08/2022;17:00:00;23,6;55,8
17/08/2022;17:15:00;23,6;55,7
17/08/2022;17:30:00;23,6;55,7
17/08/2022;17:45:00;23,7;58,0
17/08/2022;18:00:00;23,8;59,0
17/08/2022;18:15:00;23,9;59,6
17/08/2022;18:30:00;23,9;60,1
17/08/2022;18:45:00;24,0;60,5
17/08/2022;19:00:00;24,0;60,8
17/08/2022;19:15:00;24,0;61,3
17/08/2022;19:30:00;24,1;61,6
17/08/2022;19:45:00;24,1;62,0
17/08/2022;20:00:00;24,1;62,3
17/08/2022;20:15:00;24,2;62,6
17/08/2022;20:30:00;24,1;63,0
17/08/2022;20:45:00;24,2;63,2
17/08/2022;21:00:00;24,2;63,3
17/08/2022;21:15:00;24,2;63,5
17/08/2022;21:30:00;24,2;63,6
17/08/2022;21:45:00;24,2;63,7
17/08/2022;22:00:00;24,2;64,0
17/08/2022;22:15:00;24,2;64,2
17/08/2022;22:30:00;24,2;64,2
17/08/2022;22:45:00;24,2;64,3
17/08/2022;23:00:00;24,3;64,4
17/08/2022;23:15:00;24,3;64,5
17/08/2022;23:30:00;24,3;64,6
17/08/2022;23:45:00;24,3;64,7
18/08/2022;00:00:00;24,3;64,8
18/08/2022;00:15:00;24,3;64,8
18/08/2022;00:30:00;24,3;64,9
18/08/2022;00:45:00;24,3;64,7
18/08/2022;01:00:00;24,3;64,9
18/08/2022;01:15:00;24,3;65,0
18/08/2022;01:30:00;24,3;65,1
18/08/2022;01:45:00;24,3;65,1
18/08/2022;02:00:00;24,3;65,3
18/08/2022;02:15:00;24,3;65,3
18/08/2022;02:30:00;24,3;65,5
18/08/2022;02:45:00;24,3;65,3
18/08/2022;03:00:00;24,3;65,3
18/08/2022;03:15:00;24,3;65,3
18/08/2022;03:30:00;24,3;65,4
18/08/2022;03:45:00;24,3;65,5
18/08/2022;04:00:00;24,3;65,6
18/08/2022;04:15:00;24,3;65,5
18/08/2022;04:30:00;24,4;65,7
18/08/2022;04:45:00;24,4;65,5
18/08/2022;05:00:00;24,4;65,5
18/08/2022;05:15:00;24,4;65,6
18/08/2022;05:30:00;24,4;65,5
18/08/2022;05:45:00;24,4;65,6
18/08/2022;06:00:00;24,4;65,6
18/08/2022;06:15:00;24,4;65,6
18/08/2022;06:30:00;24,4;65,6
18/08/2022;06:45:00;24,4;65,6
18/08/2022;07:00:00;24,4;65,7
18/08/2022;07:15:00;24,4;65,7
18/08/2022;07:30:00;24,4;65,7
18/08/2022;07:45:00;24,4;65,7
18/08/2022;08:00:00;24,4;65,8
18/08/2022;08:15:00;24,4;65,8
18/08/2022;08:30:00;24,4;65,9
18/08/2022;08:45:00;24,3;64,2
18/08/2022;09:00:00;24,0;61,1
18/08/2022;09:15:00;23,8;59,4
18/08/2022;09:30:00;23,8;58,9
18/08/2022;09:45:00;23,8;58,8
18/08/2022;10:00:00;23,9;58,2
18/08/2022;10:15:00;23,9;57,6
18/08/2022;10:30:00;23,9;57,0
18/08/2022;10:45:00;24,0;56,5
18/08/2022;11:00:00;23,9;56,3
18/08/2022;11:15:00;24,0;56,1
18/08/2022;11:30:00;23,9;55,9
18/08/2022;11:45:00;23,9;56,0
18/08/2022;12:00:00;23,9;55,6
18/08/2022;12:15:00;24,0;55,3
18/08/2022;12:30:00;23,9;54,9
18/08/2022;12:45:00;24,0;54,6
18/08/2022;13:00:00;24,0;54,9
18/08/2022;13:15:00;23,9;54,5
18/08/2022;13:30:00;23,8;54,3
18/08/2022;13:45:00;23,8;54,0
18/08/2022;14:00:00;23,9;53,8
18/08/2022;14:15:00;23,9;54,0
18/08/2022;14:30:00;23,9;53,9
18/08/2022;14:45:00;24,0;54,0
18/08/2022;15:00:00;23,9;53,7
18/08/2022;15:15:00;24,0;53,8
18/08/2022;15:30:00;24,0;53,7
18/08/2022;15:45:00;24,0;53,8
18/08/2022;16:00:00;24,0;54,2
18/08/2022;16:15:00;24,0;53,9
18/08/2022;16:30:00;24,0;53,6
18/08/2022;16:45:00;23,9;53,5
18/08/2022;17:00:00;24,0;54,6
18/08/2022;17:15:00;24,2;56,4
18/08/2022;17:30:00;24,3;55,7
18/08/2022;17:45:00;24,1;54,5
18/08/2022;18:00:00;24,0;54,2
18/08/2022;18:15:00;24,1;54,5
18/08/2022;18:30:00;24,2;55,0
18/08/2022;18:45:00;24,3;55,5
18/08/2022;19:00:00;24,3;55,8
18/08/2022;19:15:00;24,3;56,3
18/08/2022;19:30:00;24,4;56,7
18/08/2022;19:45:00;24,4;56,9
18/08/2022;20:00:00;24,4;57,3
18/08/2022;20:15:00;24,4;57,5
18/08/2022;20:30:00;24,5;57,7
18/08/2022;20:45:00;24,5;58,0
18/08/2022;21:00:00;24,5;58,2
18/08/2022;21:15:00;24,5;58,4
18/08/2022;21:30:00;24,5;58,7
18/08/2022;21:45:00;24,5;58,9
18/08/2022;22:00:00;24,5;59,1
18/08/2022;22:15:00;24,5;59,2
18/08/2022;22:30:00;24,5;59,3
18/08/2022;22:45:00;24,5;59,4
18/08/2022;23:00:00;24,6;59,6
18/08/2022;23:15:00;24,6;59,7
18/08/2022;23:30:00;24,6;60,0
